id,stream,college_name,placement_status,salary
512,Mechanical Engineering,University of Maryland--College Park,Placed,63000
513,Computer Science,University of Rochester,Placed,62000
514,Electrical Engineering,University of California--Santa Cruz,Placed,60000
515,Information Technology,University of Connecticut,Placed,61000
516,Computer Science,University of California--Riverside,Not Placed,0
517,Electronics and Communication,University of Delaware,Placed,65000
518,Information Technology,University of California--San Francisco,Placed,66000
519,Mechanical Engineering,University of Texas--Dallas,Placed,63000
520,Computer Science,University of Michigan--Ann Arbor,Placed,64000
521,Electronics and Communication,University of Virginia,Placed,67000
522,Computer Science,University of California--Los Angeles,Placed,67000
523,Electrical Engineering,University of California--Berkeley,Placed,66000
524,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000
525,Mechanical Engineering,University of Colorado--Boulder,Placed,66000
526,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
527,Electrical Engineering,University of Maryland--College Park,Placed,63000
528,Information Technology,University of Rochester,Placed,62000
529,Computer Science,University of California--Santa Cruz,Placed,60000
530,Electronics and Communication,University of Connecticut,Placed,61000
531,Information Technology,University of California--Riverside,Not Placed,0
532,Mechanical Engineering,University of Delaware,Placed,65000
533,Computer Science,University of California--San Francisco,Placed,66000
534,Electronics and Communication,University of Texas--Dallas,Placed,63000
535,Computer Science,University of Virginia,Placed,64000
536,Electrical Engineering,University of Michigan--Ann Arbor,Placed,67000
537,Information Technology,University of Pennsylvania,Not Placed,0
538,Mechanical Engineering,University of Washington,Placed,67000
539,Computer Science,University of California--Berkeley,Placed,66000
540,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
541,Information Technology,University of Colorado--Boulder,Placed,66000
542,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
543,Electronics and Communication,University of Maryland--College Park,Placed,63000
544,Information Technology,University of Rochester,Placed,62000
545,Mechanical Engineering,University of California--Santa Cruz,Placed,60000
546,Computer Science,University of California--Riverside,Not Placed,0
547,Electronics and Communication,University of Delaware,Placed,65000
548,Computer Science,University of California--San Francisco,Placed,66000
549,Electrical Engineering,University of Texas--Dallas,Placed,63000
550,Information Technology,University of Virginia,Placed,64000
551,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000
552,Computer Science,University of Pennsylvania,Not Placed,0
553,Electrical Engineering,University of Washington,Placed,67000
554,Information Technology,University of California--Berkeley,Placed,66000
555,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
556,Electronics and Communication,University of Colorado--Boulder,Placed,66000
557,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
558,Mechanical Engineering,University of Maryland--College Park,Placed,63000
559,Computer Science,University of Rochester,Placed,62000
560,Electronics and Communication,University of California--Santa Cruz,Placed,60000
561,Computer Science,University of Connecticut,Placed,61000
562,Electrical Engineering,University of California--Riverside,Not Placed,0
563,Information Technology,University of Delaware,Placed,65000
564,Mechanical Engineering,University of California--San Francisco,Placed,66000
565,Computer Science,University of Texas--Dallas,Placed,63000
566,Electrical Engineering,University of Virginia,Placed,64000
567,Information Technology,University of Michigan--Ann Arbor,Placed,67000
568,Computer Science,University of Pennsylvania,Not Placed,0
569,Electronics and Communication,University of Washington,Placed,67000
570,Information Technology,University of California--Berkeley,Placed,66000
571,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
572,Computer Science,University of Colorado--Boulder,Placed,66000
573,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0
574,Computer Science,University of Maryland--College Park,Placed,63000
575,Electrical Engineering,University of Rochester,Placed,62000
576,Information Technology,University of California--Santa Cruz,Placed,60000
577,Mechanical Engineering,University of Connecticut,Placed,61000
578,Computer Science,University of California--Riverside,Not Placed,0
579,Electrical Engineering,University of Delaware,Placed,65000
580,Information Technology,University of California--San Francisco,Placed,66000
581,Computer Science,University of Texas--Dallas,Placed,63000
582,Electronics and Communication,University of Virginia,Placed,64000
583,Information Technology,University of Michigan--Ann Arbor,Placed,67000
584,Mechanical Engineering,University of Pennsylvania,Not Placed,0
585,Computer Science,University of Washington,Placed,67000
586,Electronics and Communication,University of California--Berkeley,Placed,66000
587,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
588,Electrical Engineering,University of Colorado--Boulder,Placed,66000
589,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
590,Mechanical Engineering,University of Maryland--College Park,Placed,63000
591,Computer Science,University of Rochester,Placed,62000
592,Electrical Engineering,University of California--Santa Cruz,Placed,60000
593,Information Technology,University of Connecticut,Placed,61000
594,Computer Science,University of California--Riverside,Not Placed,0
595,Electronics and Communication,University of Delaware,Placed,65000
596,Information Technology,University of California--San Francisco,Placed,66000
597,Mechanical Engineering,University of Texas--Dallas,Placed,63000
598,Computer Science,University of Michigan--Ann Arbor,Placed,64000
599,Electronics and Communication,University of Virginia,Placed,67000
600,Computer Science,University of California--Los Angeles,Placed,67000
601,Electrical Engineering,University of California--Berkeley,Placed,66000
602,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000
603,Mechanical Engineering,University of Colorado--Boulder,Placed,66000
604,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
605,Electrical Engineering,University of Maryland--College Park,Placed,63000
606,Information Technology,University of Rochester,Placed,62000
607,Computer Science,University of California--Santa Cruz,Placed,60000
608,Electronics and Communication,University of Connecticut,Placed,61000
609,Information Technology,University of California--Riverside,Not Placed,0
610,Mechanical Engineering,University of Delaware,Placed,65000
611,Computer Science,University of California--San Francisco,Placed,66000
612,Electronics and Communication,University of Texas--Dallas,Placed,63000
613,Computer Science,University of Virginia,Placed,64000
614,Electrical Engineering,University of Michigan--Ann Arbor,Placed,67000
615,Information Technology,University of Pennsylvania,Not Placed,0
616,Mechanical Engineering,University of Washington,Placed,67000
617,Computer Science,University of California--Berkeley,Placed,66000
618,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
619,Electronics and Communication,University of Colorado--Boulder,Placed,66000
620,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
621,Electrical Engineering,University of Maryland--College Park,Placed,63000
622,Information Technology,University of Rochester,Placed,62000
623,Mechanical Engineering,University of California--Santa Cruz,Placed,60000
624,Computer Science,University of Connecticut,Placed,61000
625,Electrical Engineering,University of California--Riverside,Not Placed,0
626,Information Technology,University of Delaware,Placed,65000
627,Computer Science,University of California--San Francisco,Placed,66000
628,Electronics and Communication,University of Texas--Dallas,Placed,63000
629,Information Technology,University of Virginia,Placed,64000
630,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000
631,Computer Science,University of Pennsylvania,Not Placed,0
632,Electronics and Communication,University of Washington,Placed,67000
633,Computer Science,University of California--Berkeley,Placed,66000
634,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
635,Information Technology,University of Colorado--Boulder,Placed,66000
636,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
637,Computer Science,University of Maryland--College Park,Placed,63000
638,Electrical Engineering,University of Rochester,Placed,62000
639,Information Technology,University of California--Santa Cruz,Placed,60000
640,Computer Science,University of Connecticut,Placed,61000
641,Electronics and Communication,University of California--Riverside,Not Placed,0
642,Information Technology,University of Delaware,Placed,65000
643,Mechanical Engineering,University of California--San Francisco,Placed,66000
644,Computer Science,University of Texas--Dallas,Placed,63000
645,Electronics and Communication,University of Virginia,Placed,64000
646,Computer Science,University of Michigan--Ann Arbor,Placed,67000
647,Electrical Engineering,University of Pennsylvania,Not Placed,0
648,Information Technology,University of Washington,Placed,67000
649,Mechanical Engineering,University of California--Berkeley,Placed,66000
650,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
651,Electrical Engineering,University of Colorado--Boulder,Placed,66000
652,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
653,Computer Science,University of Maryland--College Park,Placed,63000
654,Electronics and Communication,University of Rochester,Placed,62000
655,Information Technology,University of California--Santa Cruz,Placed,60000
656,Mechanical Engineering,University of Connecticut,Placed,61000
657,Computer Science,University of California--Riverside,Not Placed,0
658,Electronics and Communication,University of Delaware,Placed,65000
659,Computer Science,University of California--San Francisco,Placed,66000
660,Electrical Engineering,University of Texas--Dallas,Placed,63000
661,Information Technology,University of Virginia,Placed,64000
662,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000
663,Computer Science,University of Pennsylvania,Not Placed,0
664,Electrical Engineering,University of Washington,Placed,67000
665,Information Technology,University of California--Berkeley,Placed,66000
666,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
667,Electronics and Communication,University of Colorado--Boulder,Placed,66000
668,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
669,Mechanical Engineering,University of Maryland--College Park,Placed,63000
670,Computer Science,University of Rochester,Placed,62000
671,Electronics and Communication,University of California--Santa Cruz,Placed,60000
672,Computer Science,University of Connecticut,Placed,61000
673,Electrical Engineering,University of California--Riverside,Not Placed,0
674,Information Technology,University of Delaware,Placed,65000
675,Mechanical Engineering,University of California--San Francisco,Placed,66000
676,Computer Science,University of Texas--Dallas,Placed,63000
677,Electrical Engineering,University of Virginia,Placed,64000
678,Information Technology,University of Michigan--Ann Arbor,Placed,67000
679,Computer Science,University of Pennsylvania,Not Placed,0
680,Electronics and Communication,University of Washington,Placed,67000
681,Information Technology,University of California--Berkeley,Placed,66000
682,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
683,Computer Science,University of Colorado--Boulder,Placed,66000
684,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0
685,Computer Science,University of Maryland--College Park,Placed,63000
686,Electrical Engineering,University of Rochester,Placed,62000
687,Information Technology,University of California--Santa Cruz,Placed,60000
688,Mechanical Engineering,University of Connecticut,Placed,61000
689,Computer Science,University of California--Riverside,Not Placed,0
690,Electrical Engineering,University of Delaware,Placed,65000
691,Information Technology,University of California--San Francisco,Placed,66000
692,Computer Science,University of Texas--Dallas,Placed,63000
693,Electronics and Communication,University of Virginia,Placed,64000
694,Information Technology,University of Michigan--Ann Arbor,Placed,67000
695,Mechanical Engineering,University of Pennsylvania,Not Placed,0
696,Computer Science,University of Washington,Placed,67000
697,Electronics and Communication,University of California--Berkeley,Placed,66000
698,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
699,Electrical Engineering,University of Colorado--Boulder,Placed,66000
700,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
